length,maxspeed,lanes,highway
254.70900000000006,,,motorway_link
767.7999999999998,50 mph,2,motorway
259.67400000000004,,,motorway_link
291.83900000000006,50 mph,3,motorway
433.1479999999999,,1,motorway_link
552.424,50 mph,3,motorway
85.345,25 mph,,secondary
138.03300000000002,,,secondary
86.27499999999999,25 mph,,secondary
86.149,,,residential
85.96799999999999,,,residential
138.033,,,secondary
134.77100000000002,,,secondary
134.77100000000002,,,secondary
85.99,25 mph,3,primary
271.351,,2,secondary
86.24000000000001,,"['4', '3']",primary
199.79500000000002,,,secondary
271.351,,2,secondary
22.088,,,secondary
55.92400000000001,,,secondary
93.53800000000001,25 mph,4,primary
142.26,,,residential
55.924,,,secondary
85.52099999999999,25 mph,"['2', '3']",tertiary
142.26000000000002,,,residential
85.181,,1,residential
86.01,25 mph,3,primary
271.70200000000006,,2,residential
81.618,,"['4', '3']",primary
19.292,,2,residential
86.20899999999999,25 mph,4,primary
105.43299999999999,,2,residential
80.922,25 mph,3,tertiary
86.554,25 mph,"['2', '3']",tertiary
127.99200000000002,,2,residential
87.48,,,secondary
82.185,,,secondary
267.007,,"['4', '3']",primary
249.00000000000003,20 mph,,residential
153.183,,4,primary
29.605999999999998,,4,primary
239.745,,,tertiary
201.183,,,residential
127.58999999999999,,,tertiary
215.27400000000003,,,tertiary
90.62,,,residential
80.571,25 mph,4,secondary
80.763,25 mph,4,secondary
80.824,,4,primary
273.333,,,residential
271.734,,,residential
81.107,,3,primary
17.095,,,residential
80.173,25 mph,4,primary
109.34,,,residential
80.698,25 mph,2,tertiary
80.27499999999999,25 mph,3,tertiary
215.285,,,residential
89.457,,,secondary
88.052,,,secondary
101.45,20 mph,,tertiary
126.92099999999999,20 mph,,tertiary
261.715,,,residential
96.327,,,secondary
171.363,,,secondary
85.266,,,residential
22.314999999999998,,,residential
246.775,,2,primary
85.26599999999999,,,residential
171.551,,,residential
244.92499999999998,,,residential
311.336,25 mph,"['2', '1']",residential
76.599,25 mph,2,secondary
41.444,25 mph,,residential
81.11999999999999,25 mph,4,secondary
27.203,25 mph,4,primary
150.43299999999996,25 mph,4,primary
55.69299999999999,25 mph,1,residential
78.949,25 mph,1,residential
77.97200000000001,25 mph,2,primary
23.061,25 mph,1,primary
66.408,25 mph,2,residential
253.81300000000002,25 mph,3,primary
129.856,25 mph,1,residential
27.203,25 mph,4,primary
162.38,25 mph,1,primary
79.923,25 mph,2,secondary
21.559,,,residential
93.688,25 mph,4,primary
156.643,,2,residential
79.99000000000001,25 mph,3,primary
78.78399999999999,25 mph,3,primary
80.34700000000001,25 mph,2,residential
275.731,,1,tertiary
99.10000000000001,25 mph,2,residential
79.614,,5,secondary
79.185,,,secondary
274.107,,,residential
81.183,25 mph,4,secondary
79.736,25 mph,4,secondary
271.01500000000004,,,residential
80.0,25 mph,4,primary
130.452,,,residential
79.952,,,primary
127.523,,,residential
79.18199999999999,25 mph,4,primary
213.47699999999998,,,residential
79.78099999999999,25 mph,3,tertiary
78.857,25 mph,2,tertiary
90.33500000000001,,,secondary
90.475,,,secondary
108.21200000000002,25 mph,2,residential
173.424,25 mph,"['2', '3']",residential
30.935,25 mph,2,residential
305.112,30 mph,4,trunk
25.312,,,residential
86.882,25 mph,"['2', '3']",secondary
106.88999999999999,25 mph,2,unclassified
106.88999999999999,25 mph,2,unclassified
117.527,25 mph,1,residential
46.185,25 mph,2,secondary
136.389,25 mph,1,residential
63.239000000000004,25 mph,1,residential
88.095,25 mph,1,residential
37.152,25 mph,1,residential
72.391,,1,motorway_link
56.54,25 mph,1,residential
80.472,,1,motorway_link
358.05400000000003,,"['2', '1']",motorway_link
85.68100000000001,25 mph,"['2', '1']",secondary
341.47599999999994,40 mph,1,motorway_link
866.951,40 mph,"['2', '1']",motorway
105.235,25 mph,1,secondary
101.19,25 mph,5,primary
158.859,25 mph,,secondary
15.532,25 mph,4,primary
1005.2769999999999,50 mph,3,motorway
260.646,,2,motorway_link
97.88799999999999,25 mph,2,primary
18.782,25 mph,3,secondary
88.02000000000001,,2,secondary
87.48,,,secondary
142.72199999999998,25 mph,4,secondary
77.79799999999999,25 mph,"['4', '3']",primary
146.941,25 mph,"['4', '3']",secondary
61.999,25 mph,2,secondary
79.47600000000001,25 mph,"['5', '6']",primary
20.604,,4,motorway_link
71.337,40 mph,4,motorway
29.703,25 mph,2,primary
274.357,40 mph,"['2', '1']",motorway_link
275.96600000000007,,"['2', '1']",motorway_link
544.4730000000001,50 mph,3,motorway
139.503,,,residential
84.379,,4,secondary
86.008,,4,secondary
44.361999999999995,,,secondary
77.964,,4,secondary
68.40299999999999,,2,motorway_link
90.931,,3,motorway_link
14.631,,,residential
82.49499999999999,30 mph,1,motorway_link
76.472,,1,motorway_link
195.0,,,primary
16.05,,,primary
21.108,25 mph,1,primary
176.224,25 mph,2,primary
271.057,40 mph,"['4', '3']",motorway
732.3910000000001,40 mph,3,motorway
3.421,25 mph,4,primary
116.861,25 mph,"['2', '1']",motorway_link
114.753,,1,motorway_link
530.577,40 mph,3,motorway
84.96600000000001,25 mph,2,trunk
153.064,25 mph,5,primary
76.82000000000001,25 mph,6,primary
151.16400000000002,25 mph,"['2', '3']",residential
46.135999999999996,25 mph,2,trunk
252.512,25 mph,1,trunk_link
246.57299999999998,25 mph,2,trunk
164.867,,,secondary
273.09,,5,secondary
83.08900000000001,25 mph,2,secondary
135.391,,2,tertiary
80.137,,3,trunk
117.78,40 mph,4,motorway
59.343999999999994,,1,motorway_link
26.681,25 mph,1,unclassified
79.95,25 mph,2,secondary
991.885,35 mph,2,motorway
96.06800000000001,,1,residential
76.58599999999998,25 mph,"['5', '6']",primary
236.89,,1,motorway_link
28.95,25 mph,2,secondary
121.56199999999998,25 mph,"['2', '3']",secondary
115.65599999999999,25 mph,4,secondary
88.493,,,secondary
36.203,,2,trunk_link
139.13,25 mph,1,residential
79.487,25 mph,"['5', '6']",primary
131.136,25 mph,4,tertiary
116.47200000000001,,"['2', '1']",motorway_link
533.307,40 mph,3,motorway
122.072,,1,motorway_link
101.82499999999999,25 mph,1,residential
241.86899999999997,40 mph,3,motorway
21.22,,1,secondary
48.552,30 mph,4,trunk
274.03700000000003,25 mph,2,residential
85.33800000000001,25 mph,4,secondary
324.596,25 mph,"['4', '5']",secondary
29.651,25 mph,1,secondary
65.77199999999999,,,secondary
132.808,25 mph,"['2', '1']",motorway_link
133.751,25 mph,"['2', '3']",motorway
88.50999999999999,25 mph,"['2', '1']",motorway_link
36.784000000000006,25 mph,2,motorway
92.95399999999998,25 mph,"['2', '1']",motorway_link
25.113999999999997,25 mph,2,motorway
99.604,25 mph,"['2', '1']",motorway_link
156.099,25 mph,2,motorway
73.91899999999998,25 mph,5,trunk
130.5,25 mph,1,primary
168.435,25 mph,1,secondary
274.624,,6,secondary
86.04599999999999,25 mph,4,secondary
89.32400000000001,25 mph,4,secondary
148.857,,1,motorway_link
146.11700000000002,,,tertiary
110.53200000000001,25 mph,1,tertiary
18.644,25 mph,2,secondary
158.032,25 mph,4,secondary
80.56299999999999,25 mph,5,secondary
134.505,,1,residential
131.688,25 mph,2,residential
100.10099999999998,25 mph,"['2', '1']",motorway_link
160.37,25 mph,2,secondary
87.67899999999999,25 mph,1,trunk
12.466,25 mph,1,motorway_link
164.293,25 mph,1,residential
78.256,,4,secondary
134.546,25 mph,1,residential
79.59,25 mph,6,secondary
15.531,,1,secondary
401.584,,,motorway_link
1189.184,50 mph,3,motorway
73.948,,,residential
140.082,,2,secondary
29.969,,2,secondary
5.447,,,secondary
353.97700000000003,,1,motorway_link
143.549,25 mph,,residential
79.828,25 mph,2,secondary
296.62699999999995,,2,motorway_link
59.075,25 mph,3,primary
86.70100000000001,,5,primary
118.429,,3,residential
273.043,,,residential
86.129,25 mph,4,secondary
